date,team_red,team_blue,winner
2026-08-10,"['BenjaminZ', 'Roland']","['Sabine', 'NathV']",red
2026-08-10,"['BenjaminZ', 'Lily']","['NathV', 'Sabine']",red
2026-08-10,"['Lily', 'BenjaminZ']","['Sabine', 'Roland']",red
2026-08-10,"['Roland', 'Lily']","['NathV', 'BenjaminZ']",blue
2026-08-11,"['BenjaminZ', 'Vadim']","['Julia', 'ThéoM']",red
2026-08-11,"['ThéoM', 'BenjaminZ']","['Lily', 'Sabine']",blue
2026-08-11,"['Vadim', 'Sabine']","['Lily', 'BenjaminZ']",red
2026-08-11,"['NathV', 'Lily']","['BenjaminZ', 'Sabine']",red
2026-08-11,"['NathV', 'BenjaminZ']","['Lily', 'Sabine']",blue
2026-08-11,"['NathV', 'ThéoM']","['Sabine', 'Lily']",red
2026-08-11,"['Lily', 'Sabine']","['ThéoM', 'NathV']",red
2026-08-12,"['ThéoM', 'Lily']","['Vadim', 'ManonV']",red
2026-08-12,"['Vadim', 'Lily']","['ManonV', 'ThéoM']",red
2026-08-12,"['ThéoM', 'Vadim']","['Lily', 'ManonV']",red
2026-08-12,"['Lily', 'ManonV']","['Vadim', 'ThéoM']",red
2026-08-13,"['ManonV', 'Sabine']","['Julia', 'Lily']",blue
2026-08-13,"['Sabine', 'Julia']","['ManonV', 'Lily']",blue
2026-08-13,"['Lily', 'Sabine']","['ManonV', 'Julia']",red
2026-08-13,"['Lily', 'Sabine']","['ManonV', 'Julia']",red
2026-08-13,"['Julia', 'Sabine']","['ManonV', 'Lily']",red
